Genome	Genome_type	Length	N_contigs	N50	GC_content	Completeness	Contamination	rRNA_5S	rRNA_16S	rRNA_23S	tRNAs	Country	Continent	Domain	Phylum	Class	Order	Family	Genus	Species
MGYG000304102	MAG	902059	205	4825	35.31	55.17	0	0	0	0	4	USA	North America	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Anaerococcus	NA
MGYG000304103	MAG	1382384	166	11638	35.87	84.97	0	0	0	0	14	USA	North America	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Ezakiella	Ezakiella coagulans
MGYG000304104	MAG	1151721	31	65866	44.12	83.08	0	0	0	0	19	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	NA
MGYG000304105	MAG	1681939	110	23987	36.18	94.13	0.71	0	0	0	16	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Cryptobacteroides	NA
MGYG000304106	MAG	2313675	88	47252	44.42	93.94	0.27	0	0	0	18	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella corporis
MGYG000304107	MAG	2012644	83	44463	35.89	99.3	0	0	0	0	9	USA	North America	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Peptostreptococcus	Peptostreptococcus anaerobius
MGYG000304108	MAG	2312084	30	122814	58.67	100	0	0	0	0	19	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium breve
MGYG000304109	MAG	1708830	56	48933	41.38	97.4	0.27	0	0	0	12	USA	North America	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus coleohominis
MGYG000304110	MAG	1659775	105	26697	35.35	95.64	0.63	0	0	0	11	USA	North America	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Anaerococcus	NA
MGYG000304111	MAG	1622969	187	11191	50.11	82.86	1.24	0	0	0	16	USA	North America	Bacteria	Bacillota	Clostridia	Saccharofermentanales	Fastidiosipilaceae	JAAYOA01	NA
MGYG000304112	MAG	1850928	147	17652	47.24	97.55	0.31	0	0	0	18	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas sp900554935
MGYG000304113	MAG	1949185	30	127866	34.67	99.22	0	0	0	0	16	USA	North America	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus paragasseri
MGYG000304114	MAG	1107597	230	4924	61.23	58.26	0.88	0	0	0	15	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Microbacteriaceae	Canibacter	NA
MGYG000304115	MAG	842861	54	22612	46.44	62.99	1.72	0	0	0	18	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium vaginale
MGYG000304116	MAG	2032605	65	57371	61.36	97.73	0	0	0	0	18	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinotignum	Actinotignum sanguinis
MGYG000304117	MAG	1795714	171	16684	48.77	93.01	1.04	0	0	0	19	USA	North America	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olegusella	NA
MGYG000304118	MAG	938218	87	13590	28.97	73.81	1.22	0	0	0	9	USA	North America	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	NA	NA
MGYG000304119	MAG	697622	34	38861	47.43	61.97	0	0	0	0	20	USA	North America	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanoperiomorbaceae	Nanoperiomorbus	NA
MGYG000304120	MAG	2299280	67	68583	59.91	98.9	0.08	0	0	0	17	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium sp900539985
MGYG000304121	MAG	1371198	152	10789	36.44	86.71	0	0	0	0	7	USA	North America	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus prevotii
MGYG000304122	MAG	807792	27	57622	25.55	98.33	0.42	0	0	0	20	USA	North America	Bacteria	Bacillota	Bacilli	Mycoplasmatales	Mycoplasmoidaceae	Ureaplasma	Ureaplasma urealyticum
MGYG000304123	MAG	1328015	65	45772	28.22	98.88	1.12	0	0	0	14	USA	North America	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Sneathia	Sneathia vaginalis
MGYG000304124	MAG	552153	49	14100	38.49	58.55	0	0	0	0	19	USA	North America	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanoperiomorbaceae	NA	NA
MGYG000304125	MAG	2124746	130	21874	59.75	91.13	2.77	0	0	0	18	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	NA
MGYG000304126	MAG	1359981	152	12162	38.15	94.71	0	0	0	0	3	USA	North America	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Peptostreptococcus	Peptostreptococcus sp000758885
MGYG000304127	MAG	2917500	164	25838	46.76	91.2	2.38	0	0	0	13	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella copri
MGYG000304128	MAG	926444	127	7507	39.82	57.91	0	0	0	0	15	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium vaginale
MGYG000304129	MAG	1528726	103	23972	34.56	96.43	3.5	0	0	0	7	USA	North America	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Peptoniphilus	Peptoniphilus duerdenii
MGYG000304130	MAG	1753796	30	74905	34.93	99.7	0.32	0	0	0	11	USA	North America	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus tetradius
MGYG000304131	MAG	1331919	244	5867	57.7	65.11	1.66	0	0	0	11	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Actinomycetaceae	Mobiluncus	NA
MGYG000304132	MAG	1117354	57	27113	40.05	80.98	0	0	0	0	11	USA	North America	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus portuensis
MGYG000304133	MAG	2177640	136	33724	36.81	99.03	0.09	0	0	0	18	USA	North America	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus crispatus
MGYG000304134	MAG	1600166	128	16835	66.81	84.62	2.11	0	0	0	16	USA	North America	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	NA
MGYG000304135	MAG	1345065	302	4531	59.21	56.75	0.95	0	0	0	11	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Actinomycetaceae	Pauljensenia	Pauljensenia radingae
MGYG000304136	MAG	1646803	7	428691	41.32	100	0	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium vaginale
MGYG000304137	MAG	2444148	407	6475	69.95	80.9	1.46	0	0	0	19	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Dermabacteraceae	Brachybacterium	Brachybacterium sp002871795
MGYG000304138	MAG	847744	184	4853	56.52	62.17	0	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium sp000758825
MGYG000304139	MAG	1419045	232	7537	34.44	74.41	0.85	0	0	0	9	USA	North America	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus sp910589175
MGYG000304140	MAG	1394142	143	14537	40.34	75.04	1.6	0	0	0	4	USA	North America	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus salivarius
MGYG000304141	MAG	1807453	36	96180	60.73	100	0	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Berryella	Berryella sp900604965
MGYG000304142	MAG	695978	17	454422	47.67	63.68	0	0	0	0	20	USA	North America	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanoperiomorbaceae	Nanoperiomorbus	Nanoperiomorbus sp004136275
MGYG000304143	MAG	1586517	324	5267	49.22	74.92	0.93	0	0	0	15	USA	North America	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Sutterella	NA
MGYG000304144	MAG	1833005	27	96618	51.75	93.74	0.63	0	0	0	20	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	NA
MGYG000304145	MAG	1486581	33	72626	41.17	94.39	0	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium vaginale
MGYG000304146	MAG	1578591	93	26122	28.69	97.01	0.61	0	0	0	10	USA	North America	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus vaginalis
MGYG000304147	MAG	2146241	41	80389	45.18	96.03	0	0	0	0	19	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Cryptobacteroides	NA
MGYG000304148	MAG	1805775	170	15870	53.15	93.9	1.58	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Actinomycetaceae	Varibaculum	Varibaculum massiliense
MGYG000304149	MAG	1234158	184	7597	51.15	81.88	1.4	0	0	0	12	USA	North America	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Peptoniphilus	Peptoniphilus rachelemmaiella
MGYG000304150	MAG	881918	213	4125	49	56.64	0.4	0	0	0	9	USA	North America	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olegusella	Olegusella massiliensis
MGYG000304151	MAG	2642021	141	43312	42.37	97.84	0.18	0	0	0	17	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella timonensis
MGYG000304152	MAG	2230467	56	72251	60.67	95.58	1.98	0	0	0	16	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium riegelii
MGYG000304153	MAG	1489137	27	111877	43.16	97.47	0	0	0	0	19	USA	North America	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Khoudiadiopia	NA
MGYG000304154	MAG	1348282	17	165949	51.75	99.6	0	0	0	0	19	USA	North America	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Atopobium	Atopobium deltae
MGYG000304155	MAG	1506138	35	91297	33.63	79.79	0.71	0	0	0	20	USA	North America	Bacteria	Bacillota	Clostridia	Saccharofermentanales	Fastidiosipilaceae	Fastidiosipila	NA
MGYG000304156	MAG	1595990	37	57783	49.58	95.16	0	0	0	0	19	USA	North America	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Lancefieldella	Lancefieldella rimae
MGYG000304157	MAG	1962197	42	75112	39.7	94.96	0.65	0	0	0	15	USA	North America	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium	NA
MGYG000304158	MAG	2133083	50	108316	39.42	99.27	0.36	0	0	0	17	USA	North America	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Haemophilus	Haemophilus parainfluenzae
MGYG000304159	MAG	1813764	64	47552	48.93	94.51	0	0	0	0	20	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	NA
MGYG000304160	MAG	2526790	32	150162	46.92	98.95	0	0	0	0	17	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella colorans
MGYG000304161	MAG	892268	132	9559	42.96	55.4	0.02	0	0	0	19	USA	North America	Bacteria	Bacillota	Clostridia	Saccharofermentanales	Fastidiosipilaceae	KA00274	KA00274 sp902373515
MGYG000304162	MAG	1550643	138	14212	34.72	94.87	0	0	0	0	10	USA	North America	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Peptoniphilus	Peptoniphilus vaginalis
MGYG000304163	MAG	1584922	179	12007	52.28	80.75	3.08	0	0	0	18	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Actinomycetaceae	Varibaculum	NA
MGYG000304164	MAG	1954857	357	5862	67.35	66.92	0.28	0	0	0	13	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Brevibacteriaceae	Brevibacterium	Brevibacterium luteolum
MGYG000304165	MAG	2673686	362	8972	40.97	88.92	1.35	0	0	0	13	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella melaninogenica
MGYG000304166	MAG	688337	11	207533	47.68	63.68	0	0	0	0	20	USA	North America	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanoperiomorbaceae	Nanoperiomorbus	NA
MGYG000304167	MAG	684072	13	96043	47.99	63.68	0	0	0	0	20	USA	North America	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanoperiomorbaceae	Nanoperiomorbus	NA
MGYG000304168	MAG	1495121	37	60872	30	95.8	0	0	0	0	12	USA	North America	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Peptoniphilus	Peptoniphilus lacrimalis
MGYG000304169	MAG	1460852	58	53130	50.06	93.95	0	0	0	0	19	USA	North America	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Berryella	NA
MGYG000304170	MAG	1701572	156	15729	31.04	89.81	0.15	0	0	0	13	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	NA
MGYG000304171	MAG	2224368	175	17085	60.16	96.48	1.45	0	0	0	12	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium sp900539985
MGYG000304172	MAG	1661395	189	11974	46.35	71.88	0.22	0	0	0	13	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella buccalis
MGYG000304173	MAG	1698108	42	77479	46.08	98.95	0	0	0	0	11	USA	North America	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Peptoniphilus	Peptoniphilus coxii
MGYG000304174	MAG	1702313	53	50919	42.72	96.08	0.31	0	0	0	19	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas sp001552775
MGYG000304175	MAG	1646710	51	57575	59.52	100	0	0	0	0	20	USA	North America	Bacteria	Synergistota	Synergistia	Synergistales	Dethiosulfovibrionaceae	Jonquetella	Jonquetella anthropi
MGYG000304176	MAG	1221152	237	5634	36.6	65.22	1.34	0	0	0	5	USA	North America	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Anaerococcus	NA
MGYG000304177	MAG	2803018	66	78321	45.75	98.59	0.54	0	0	0	16	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp000479005
MGYG000304178	MAG	2059678	178	16464	60.16	91.71	0.28	0	0	0	14	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	NA
MGYG000304179	MAG	1530663	39	92808	38.98	98.26	0	0	0	0	16	USA	North America	Bacteria	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	Aerococcus christensenii
MGYG000304180	MAG	2722277	151	26153	42.08	98.48	0	0	0	0	18	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella timonensis
MGYG000304181	MAG	485206	32	24820	45.13	77.74	0	0	0	0	19	USA	North America	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanoperiomorbaceae	Nanoperiomorbus	NA
MGYG000304182	MAG	2602954	28	162344	60.51	99.12	1.95	0	0	0	19	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium sp001767255
MGYG000304183	MAG	1360729	186	8738	34.01	90.35	0.72	0	0	0	10	USA	North America	Bacteria	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Granulicatella	NA
MGYG000304184	MAG	1389030	105	17524	25.89	92.79	0	0	0	0	11	USA	North America	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Parvimonas	Parvimonas sp001552895
MGYG000304185	MAG	1667063	158	20517	62.68	84.11	0.19	0	0	0	15	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Brevibacteriaceae	Brevibacterium	Brevibacterium sp001815905
MGYG000304186	MAG	2660032	168	22756	59.38	96.64	0.22	0	0	0	17	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium striatum
MGYG000304187	MAG	1489269	47	62017	36.58	96.15	0	0	0	0	12	USA	North America	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Fenollaria	NA
MGYG000304188	MAG	1978692	34	139738	50.73	98.68	0.66	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Vaginimicrobium	Vaginimicrobium propionicum
MGYG000304189	MAG	1961039	57	96679	57.57	95.73	0.95	0	0	0	19	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Actinomycetaceae	Mobiluncus	NA
MGYG000304190	MAG	1375713	49	71223	42.51	93.64	0.61	0	0	0	19	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium piotii
MGYG000304191	MAG	1314397	239	6542	53.31	58.55	1.43	0	0	0	10	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	NA
MGYG000304192	MAG	2211772	13	337664	59.61	99.49	0	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium sp943913645
MGYG000304193	MAG	1969330	25	132166	35.34	99.39	0	0	0	0	12	USA	North America	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus sp943912825
MGYG000304194	MAG	2276815	55	65223	49.32	97.96	0.34	0	0	0	17	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp000758925
MGYG000304195	MAG	1054604	131	9549	36.76	85.87	3.03	0	0	0	11	USA	North America	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Anaerovoracaceae	Alterileibacterium	NA
MGYG000304196	MAG	2117372	198	14745	62.04	92.71	1.68	0	0	0	13	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium coyleae
MGYG000304197	MAG	2273265	153	20970	47.63	97.02	0.51	0	0	0	17	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Sodaliphilus	NA
MGYG000304198	MAG	1316046	20	127884	51.19	96.99	1.42	0	0	0	16	USA	North America	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Anaerovoracaceae	Baileyella	NA
MGYG000304199	MAG	1442358	28	76547	42.65	88.53	0	0	0	0	20	USA	North America	Bacteria	Bacillota	Clostridia	Saccharofermentanales	Fastidiosipilaceae	KA00274	KA00274 sp902373515
MGYG000304200	MAG	1218127	29	79749	26.62	98.88	0.16	0	0	0	13	USA	North America	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Sneathia	Sneathia sanguinegens
MGYG000304201	MAG	2272327	61	56628	47.6	99.11	0.81	0	0	0	18	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas somerae
MGYG000304202	MAG	1737720	44	65460	34.13	98.83	0	0	0	0	16	USA	North America	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus jensenii
MGYG000304203	MAG	1661199	47	51066	51.05	98.89	0	0	0	0	19	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinotignum	Actinotignum urinale
MGYG000304204	MAG	2301097	57	79428	62.93	99.12	0	0	0	0	15	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium sp022347285
MGYG000304205	MAG	1590158	25	83276	34.08	98.83	0	0	0	0	16	USA	North America	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus mulieris
MGYG000304206	MAG	2560889	75	60757	61.34	99.9	0	0	0	0	19	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium pyruviciproducens
MGYG000304207	MAG	1226123	181	7836	37.17	88.11	0.7	0	0	0	6	USA	North America	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Filifactoraceae	Filifactor	NA
MGYG000304208	MAG	2159113	76	39693	39.17	99.29	0	0	0	0	15	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella disiens
MGYG000304209	MAG	1546730	107	20126	28.82	93.48	0.75	0	0	0	15	USA	North America	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter ureolyticus
MGYG000304210	MAG	1775291	10	442260	46.75	100	0	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Alloscardovia	Alloscardovia omnicolens
MGYG000304211	MAG	2636571	211	17477	42.53	96.29	0.36	0	0	0	13	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella timonensis
MGYG000304212	MAG	1319937	233	6773	39.5	79.9	1.67	0	0	0	17	USA	North America	Bacteria	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Facklamia	Facklamia hominis
MGYG000304213	MAG	1280419	293	4333	46.79	56.6	0.48	0	0	0	8	USA	North America	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Oligella	Oligella urethralis
MGYG000304214	MAG	1400594	206	8335	40	77.7	0.49	0	0	0	9	USA	North America	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella atypica
MGYG000304215	MAG	1279428	105	17269	50.81	88.85	1.27	0	0	0	18	USA	North America	Bacteria	Bacillota	Negativicutes	Veillonellales	Negativicoccaceae	CAMCNU01	NA
MGYG000304216	MAG	2465346	305	10113	48.59	90.32	0.51	0	0	0	12	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella bergensis
MGYG000304217	MAG	1468801	32	66461	38.72	99.4	0	0	0	0	19	USA	North America	Bacteria	Bacillota	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera	Megasphaera hutchinsoni
MGYG000304218	MAG	1593009	6	819722	41.92	99.93	0	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium swidsinskii
MGYG000304219	MAG	1675599	358	4736	69.3	65.16	1.39	0	0	0	13	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium freneyi
MGYG000304220	MAG	1459258	125	17033	31.83	83.84	0.61	0	0	0	10	USA	North America	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Finegoldia	Finegoldia magna
MGYG000304221	MAG	1537411	92	27385	31.92	98.17	0	0	0	0	11	USA	North America	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Finegoldia	Finegoldia magna
MGYG000304222	MAG	1483768	51	65620	39.21	96.75	0	0	0	0	16	USA	North America	Bacteria	Bacillota	Negativicutes	Veillonellales	Dialisteraceae	Dialister	Dialister sp001553355
MGYG000304223	MAG	5276951	67	123371	57.46	99.7	0.43	0	0	0	18	USA	North America	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
MGYG000304224	MAG	1147138	201	6215	53.42	59.35	0.94	0	0	0	14	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas uenonis
MGYG000304225	MAG	3109770	496	7344	51.37	71.83	0.64	0	0	0	12	USA	North America	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
MGYG000304226	MAG	1059494	79	28957	42.96	81.08	0.91	0	0	0	16	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	NA
MGYG000304227	MAG	1833886	70	41787	57.72	100	0	0	0	0	16	USA	North America	Bacteria	Synergistota	Synergistia	Synergistales	Dethiosulfovibrionaceae	Pyramidobacter	NA
MGYG000304228	MAG	1531473	41	50619	43.03	99.54	0	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium vaginale
MGYG000304229	MAG	1419081	50	50918	42.76	99.84	0	0	0	0	19	USA	North America	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Fannyhessea	Fannyhessea vaginae
MGYG000304230	MAG	1987357	21	124416	35.11	100	0	0	0	0	10	USA	North America	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae
MGYG000304231	MAG	1373651	121	17309	43.97	88.07	1.36	0	0	0	19	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	NA
MGYG000304232	MAG	1682812	246	8575	53.64	91.79	0.59	0	0	0	18	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Actinomycetaceae	Varibaculum	Varibaculum cambriense
MGYG000304233	MAG	1259487	24	67767	26.61	100	0.16	0	0	0	16	USA	North America	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Sneathia	Sneathia sanguinegens
MGYG000304234	MAG	1813205	36	81417	36.98	100	0	0	0	0	19	USA	North America	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella montpellierensis
MGYG000304235	MAG	1636127	34	70338	40.74	79.62	1.26	0	0	0	17	USA	North America	Bacteria	Bacillota	Peptococcia	Peptococcales	Peptococcaceae	NA	NA
MGYG000304236	MAG	1404224	53	60282	32.22	99.41	0.88	0	0	0	16	USA	North America	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus iners
