Genome	Genome_type	Length	N_contigs	N50	GC_content	Completeness	Contamination	rRNA_5S	rRNA_16S	rRNA_23S	tRNAs	Genome_accession	Species_rep	Lineage	Sample_accession	Study_accession	Country	Continent	FTP_download
MGYG000304184	MAG	1389030	105	17524	25.89	92.79	0.0	0.00	0.00	0.00	11	CAMYBP01	MGYG000303854	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Parvimonas;s__Parvimonas sp001552895	SAMEA111539132	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003038/MGYG000303854/genomes1/MGYG000304184.gff.gz
MGYG000304185	MAG	1667063	158	20517	62.68	84.11	0.19	0.00	0.00	0.00	15	CAMYBQ01	MGYG000304185	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium;s__Brevibacterium sp001815905	SAMEA111539095	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003041/MGYG000304185/genomes1/MGYG000304185.gff.gz
MGYG000304186	MAG	2660032	168	22756	59.38	96.64	0.22	0.00	0.00	0.00	17	CAMYBR01	MGYG000304186	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium striatum	SAMEA111539303	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003041/MGYG000304186/genomes1/MGYG000304186.gff.gz
MGYG000304187	MAG	1489269	47	62017	36.58	96.15	0.0	0.00	0.00	0.00	12	CAMYBS01	MGYG000304187	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Fenollaria;s__	SAMEA111539026	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003041/MGYG000304187/genomes1/MGYG000304187.gff.gz
MGYG000304188	MAG	1978692	34	139738	50.73	98.68	0.66	0.00	0.00	0.00	20	CAMYBU01	MGYG000304188	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Vaginimicrobium;s__Vaginimicrobium propionicum	SAMEA111539009	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003041/MGYG000304188/genomes1/MGYG000304188.gff.gz
MGYG000304189	MAG	1961039	57	96679	57.57	95.73	0.95	0.00	0.00	0.00	19	CAMYBV01	MGYG000304189	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Mobiluncus;s__	SAMEA111539025	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003041/MGYG000304189/genomes1/MGYG000304189.gff.gz
MGYG000304190	MAG	1375713	49	71223	42.51	93.64	0.61	0.00	0.00	0.00	19	CAMYBW01	MGYG000303994	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium piotii	SAMEA111539129	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003039/MGYG000303994/genomes1/MGYG000304190.gff.gz
MGYG000304191	MAG	1314397	239	6542	53.31	58.55	1.43	0.00	0.00	0.00	10	CAMYBX01	MGYG000304191	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__	SAMEA111539301	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003041/MGYG000304191/genomes1/MGYG000304191.gff.gz
MGYG000304192	MAG	2211772	13	337664	59.61	99.49	0.0	0.00	0.00	0.00	20	CAMYBY01	MGYG000304192	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sp943913645	SAMEA111539237	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003041/MGYG000304192/genomes1/MGYG000304192.gff.gz
MGYG000304193	MAG	1969330	25	132166	35.34	99.39	0.0	0.00	0.00	0.00	12	CAMYBZ01	MGYG000304193	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus sp943912825	SAMEA111539116	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003041/MGYG000304193/genomes1/MGYG000304193.gff.gz
MGYG000304194	MAG	2276815	55	65223	49.32	97.96	0.34	0.00	0.00	0.00	17	CAMYCA01	MGYG000303862	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp000758925	SAMEA111539082	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003038/MGYG000303862/genomes1/MGYG000304194.gff.gz
MGYG000304195	MAG	1054604	131	9549	36.76	85.87	3.03	0.00	0.00	0.00	11	CAMYCB01	MGYG000304195	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Alterileibacterium;s__	SAMEA111539233	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003041/MGYG000304195/genomes1/MGYG000304195.gff.gz
MGYG000304196	MAG	2117372	198	14745	62.04	92.71	1.68	0.00	0.00	0.00	13	CAMYCD01	MGYG000304290	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium coyleae	SAMEA111539235	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304290/genomes1/MGYG000304196.gff.gz
MGYG000304197	MAG	2273265	153	20970	47.63	97.02	0.51	0.00	0.00	0.00	17	CAMYCE01	MGYG000304197	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Sodaliphilus;s__	SAMEA111539230	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003041/MGYG000304197/genomes1/MGYG000304197.gff.gz
MGYG000304198	MAG	1316046	20	127884	51.19	96.99	1.42	0.00	0.00	0.00	16	CAMYCF01	MGYG000304198	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Baileyella;s__	SAMEA111539249	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003041/MGYG000304198/genomes1/MGYG000304198.gff.gz
MGYG000304199	MAG	1442358	28	76547	42.65	88.53	0.0	0.00	0.00	0.00	20	CAMYCG01	MGYG000303918	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Saccharofermentanales;f__Fastidiosipilaceae;g__KA00274;s__KA00274 sp902373515	SAMEA111539109	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003039/MGYG000303918/genomes1/MGYG000304199.gff.gz
MGYG000304200	MAG	1218127	29	79749	26.62	98.88	0.16	0.00	0.00	0.00	13	CAMYCH01	MGYG000304233	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Sneathia;s__Sneathia sanguinegens	SAMEA111539182	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304233/genomes1/MGYG000304200.gff.gz
MGYG000304201	MAG	2272327	61	56628	47.6	99.11	0.81	0.00	0.00	0.00	18	CAMYCJ01	MGYG000304201	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas_A;s__Porphyromonas_A somerae	SAMEA111539124	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304201/genomes1/MGYG000304201.gff.gz
MGYG000304202	MAG	1737720	44	65460	34.13	98.83	0.0	0.00	0.00	0.00	16	CAMYCK01	MGYG000304202	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus jensenii	SAMEA111539008	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304202/genomes1/MGYG000304202.gff.gz
MGYG000304203	MAG	1661199	47	51066	51.05	98.89	0.0	0.00	0.00	0.00	19	CAMYCL01	MGYG000304203	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinotignum;s__Actinotignum urinale	SAMEA111539269	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304203/genomes1/MGYG000304203.gff.gz
MGYG000304204	MAG	2301097	57	79428	62.93	99.12	0.0	0.00	0.00	0.00	15	CAMYCM01	MGYG000304204	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sp022347285	SAMEA111539241	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304204/genomes1/MGYG000304204.gff.gz
MGYG000304205	MAG	1590158	25	83276	34.08	98.83	0.0	0.00	0.00	0.00	16	CAMYCN01	MGYG000304205	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus mulieris	SAMEA111539302	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304205/genomes1/MGYG000304205.gff.gz
MGYG000304206	MAG	2560889	75	60757	61.34	99.9	0.0	0.00	0.00	0.00	19	CAMYCO01	MGYG000304206	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium pyruviciproducens	SAMEA111539061	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304206/genomes1/MGYG000304206.gff.gz
MGYG000304207	MAG	1226123	181	7836	37.17	88.11	0.7	0.00	0.00	0.00	6	CAMYCP01	MGYG000304207	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Filifactoraceae;g__Filifactor;s__	SAMEA111539248	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304207/genomes1/MGYG000304207.gff.gz
MGYG000304208	MAG	2159113	76	39693	39.17	99.29	0.0	0.00	0.00	0.00	15	CAMYCQ01	MGYG000304208	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella disiens	SAMEA111539027	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304208/genomes1/MGYG000304208.gff.gz
MGYG000304209	MAG	1546730	107	20126	28.82	93.48	0.75	0.00	0.00	0.00	15	CAMYCR01	MGYG000303818	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_B;s__Campylobacter_B ureolyticus	SAMEA111539023	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003038/MGYG000303818/genomes1/MGYG000304209.gff.gz
MGYG000304210	MAG	1775291	10	442260	46.75	100	0.0	0.00	0.00	0.00	20	CAMYCS01	MGYG000304210	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Alloscardovia;s__Alloscardovia omnicolens	SAMEA111539306	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304210/genomes1/MGYG000304210.gff.gz
MGYG000304211	MAG	2636571	211	17477	42.53	96.29	0.36	0.00	0.00	0.00	13	CAMYCT01	MGYG000303947	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella timonensis_A	SAMEA111539106	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003039/MGYG000303947/genomes1/MGYG000304211.gff.gz
MGYG000304212	MAG	1319937	233	6773	39.5	79.9	1.67	0.00	0.00	0.00	17	CAMYCU01	MGYG000304212	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Facklamia;s__Facklamia hominis	SAMEA111539268	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304212/genomes1/MGYG000304212.gff.gz
MGYG000304213	MAG	1280419	293	4333	46.79	56.6	0.48	0.00	0.00	0.00	8	CAMYCV01	MGYG000303910	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_C;g__Oligella;s__Oligella urethralis	SAMEA111539092	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003039/MGYG000303910/genomes1/MGYG000304213.gff.gz
MGYG000304214	MAG	1400594	206	8335	40.0	77.7	0.49	0.00	0.00	0.00	9	CAMYCW01	MGYG000304214	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella atypica	SAMEA111539250	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304214/genomes1/MGYG000304214.gff.gz
MGYG000304215	MAG	1279428	105	17269	50.81	88.85	1.27	0.00	0.00	0.00	18	CAMYCX01	MGYG000304215	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales;f__Negativicoccaceae;g__CAMCNU01;s__	SAMEA111539146	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304215/genomes1/MGYG000304215.gff.gz
MGYG000304216	MAG	2465346	305	10113	48.59	90.32	0.51	0.00	0.00	0.00	12	CAMYCY01	MGYG000304216	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella bergensis	SAMEA111539247	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304216/genomes1/MGYG000304216.gff.gz
MGYG000304217	MAG	1468801	32	66461	38.72	99.4	0.0	0.00	0.00	0.00	19	CAMYCZ01	MGYG000303966	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera hutchinsoni	SAMEA111539198	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003039/MGYG000303966/genomes1/MGYG000304217.gff.gz
MGYG000304218	MAG	1593009	6	819722	41.92	99.93	0.0	0.00	0.00	0.00	20	CAMYDA01	MGYG000304218	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium swidsinskii	SAMEA111539321	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304218/genomes1/MGYG000304218.gff.gz
MGYG000304219	MAG	1675599	358	4736	69.3	65.16	1.39	0.00	0.00	0.00	13	CAMYDB01	MGYG000304219	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium freneyi	SAMEA111539150	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304219/genomes1/MGYG000304219.gff.gz
MGYG000304220	MAG	1459258	125	17033	31.83	83.84	0.61	0.00	0.00	0.00	10	CAMYDC01	MGYG000304220	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Finegoldia;s__Finegoldia magna	SAMEA111539114	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304220/genomes1/MGYG000304220.gff.gz
MGYG000304221	MAG	1537411	92	27385	31.92	98.17	0.0	0.00	0.00	0.00	11	CAMYDD01	MGYG000304221	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Finegoldia;s__Finegoldia magna_H	SAMEA111539228	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304221/genomes1/MGYG000304221.gff.gz
MGYG000304222	MAG	1483768	51	65620	39.21	96.75	0.0	0.00	0.00	0.00	16	CAMYDE01	MGYG000304222	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister sp001553355	SAMEA111539180	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304222/genomes1/MGYG000304222.gff.gz
MGYG000304223	MAG	5276951	67	123371	57.46	99.7	0.43	0.00	0.00	0.00	18	CAMYDF01	MGYG000303735	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae	SAMEA111539007	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003037/MGYG000303735/genomes1/MGYG000304223.gff.gz
MGYG000304224	MAG	1147138	201	6215	53.42	59.35	0.94	0.00	0.00	0.00	14	CAMYDH01	MGYG000303795	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas uenonis_A	SAMEA111539300	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003037/MGYG000303795/genomes1/MGYG000304224.gff.gz
MGYG000304225	MAG	3109770	496	7344	51.37	71.83	0.64	0.00	0.00	0.00	12	CAMYDJ01	MGYG000303824	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	SAMEA111539297	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003038/MGYG000303824/genomes1/MGYG000304225.gff.gz
MGYG000304226	MAG	1059494	79	28957	42.96	81.08	0.91	0.00	0.00	0.00	16	CAMYDK01	MGYG000303797	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__	SAMEA111539034	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003037/MGYG000303797/genomes1/MGYG000304226.gff.gz
MGYG000304227	MAG	1833886	70	41787	57.72	100	0.0	0.00	0.00	0.00	16	CAMYDL01	MGYG000304227	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Dethiosulfovibrionaceae;g__Pyramidobacter;s__	SAMEA111539015	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304227/genomes1/MGYG000304227.gff.gz
MGYG000304228	MAG	1531473	41	50619	43.03	99.54	0.0	0.00	0.00	0.00	20	CAMYDM01	MGYG000304228	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium vaginale_D	SAMEA111539047	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304228/genomes1/MGYG000304228.gff.gz
MGYG000304229	MAG	1419081	50	50918	42.76	99.84	0.0	0.00	0.00	0.00	19	CAMYDN01	MGYG000304068	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Fannyhessea;s__Fannyhessea vaginae	SAMEA111539206	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304068/genomes1/MGYG000304229.gff.gz
MGYG000304230	MAG	1987357	21	124416	35.11	100	0.0	0.00	0.00	0.00	10	CAMYDO01	MGYG000304230	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus agalactiae	SAMEA111539324	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304230/genomes1/MGYG000304230.gff.gz
MGYG000304231	MAG	1373651	121	17309	43.97	88.07	1.36	0.00	0.00	0.00	19	CAMYDP01	MGYG000304231	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__	SAMEA111539041	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304231/genomes1/MGYG000304231.gff.gz
MGYG000304232	MAG	1682812	246	8575	53.64	91.79	0.59	0.00	0.00	0.00	18	CAMYDQ01	MGYG000304232	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum;s__Varibaculum cambriense_B	SAMEA111539046	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304232/genomes1/MGYG000304232.gff.gz
MGYG000304233	MAG	1259487	24	67767	26.61	100	0.16	0.00	0.00	0.00	16	CAMYDT01	MGYG000304233	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Sneathia;s__Sneathia sanguinegens	SAMEA111539201	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304233/genomes1/MGYG000304233.gff.gz
MGYG000304234	MAG	1813205	36	81417	36.98	100	0.0	0.00	0.00	0.00	19	CAMYDV01	MGYG000304002	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella montpellierensis	SAMEA111539171	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304002/genomes1/MGYG000304234.gff.gz
MGYG000304235	MAG	1636127	34	70338	40.74	79.62	1.26	0.00	0.00	0.00	17	CAMYDW01	MGYG000304235	d__Bacteria;p__Bacillota_B;c__Peptococcia;o__Peptococcales;f__Peptococcaceae;g__;s__	SAMEA111539214	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304235/genomes1/MGYG000304235.gff.gz
MGYG000304236	MAG	1404224	53	60282	32.22	99.41	0.88	0.00	0.00	0.00	16	CAMYDX01	MGYG000304057	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus iners	SAMEA111539176	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304057/genomes1/MGYG000304236.gff.gz
MGYG000304237	MAG	2394447	72	57012	39.67	99.66	0.0	0.00	0.00	0.00	19	CAMYDY01	MGYG000304237	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella bivia	SAMEA111539219	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304237/genomes1/MGYG000304237.gff.gz
MGYG000304238	MAG	1205005	32	57722	26.36	95.03	0.55	0.00	0.00	0.00	11	CAMYDZ01	MGYG000303789	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella;s__Gemella asaccharolytica	SAMEA111539294	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003037/MGYG000303789/genomes1/MGYG000304238.gff.gz
MGYG000304239	MAG	1482435	62	40326	34.57	96.85	0.0	0.00	0.00	0.00	12	CAMYEA01	MGYG000304239	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Fenollaria;s__Fenollaria massiliensis	SAMEA111539057	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304239/genomes1/MGYG000304239.gff.gz
